PaperCode, ProgramCode, GEN-Quota, OBC-Quota, SC-Quota, ST-Quota, GEN-Pd-Quota, OBC-Pd-Quota, SC-Pd-Quota, ST-Pd-Quota
BL, 1101, 1, 0, 0, 0, 0, 0, 0, 0
BL, 1210, 0, 1, 0, 0, 0, 0, 0, 0
BT, 1101, 0, 0, 0, 0, 0, 0, 0, 0
BT, 1204, 0, 0, 0, 0, 0, 0, 0, 0
BT, 1210, 0, 1, 0, 0, 0, 0, 0, 0
BT, 1213, 1, 1, 0, 1, 0, 0, 0, 0
BT, 1802, 0, 0, 0, 0, 0, 1, 0, 0
CY, 1102, 0, 0, 0, 0, 0, 0, 0, 0
CY, 1205, 0, 0, 0, 0, 0, 0, 0, 0
CY, 1210, 0, 0, 1, 0, 0, 0, 0, 0
CY, 1211, 0, 0, 0, -1, 0, 0, 0, 1
CY, 1212, 0, 1, -1, 0, 0, 0, 1, 0
CY, 1213, 0, 1, 0, 0, 0, 0, 0, 0
CY, 1301, 0, 0, 0, 0, 0, 0, 0, 0
CY, 1401, 2, 0, 0, 0, 0, 1, 0, 0
CY, 1501, 0, 0, 0, 0, 0, 0, 0, 0
CY, 1601, 0, 0, 0, 0, 0, 0, 0, 0
CY, 1701, 0, -1, 0, 0, 0, 1, 0, 0
CY, 1803, 0, 0, 0, 0, 0, 0, 0, 0
CY, 1901, 0, 0, 0, 0, 0, 0, 0, 0
CY, 1905, 0, 0, 0, 0, 0, 0, 0, 0
CY, 2001, 0, 0, 0, 0, 0, 0, 0, 0
CY, 2101, 0, -1, 0, 1, 0, 1, 0, 0
CY, 2201, 0, 0, 0, 1, 0, 0, 0, 0
CY, 2302, 0, 0, 0, 1, 0, 0, 0, 0
CY, 2401, 2, 0, 0, 1, 0, 0, 0, 0
GG, 1201, 0, 0, 0, 0, 0, 0, 0, 0
GG, 1208, 0, -1, 1, 0, 0, 1, 0, 0
GG, 1602, 0, 0, 0, 0, 0, 0, 0, 0
GG, 1605, 0, 0, 0, 0, 0, 0, 0, 0
GG, 1801, 0, 0, 0, 0, 0, 0, 0, 0
GG, 1904, 0, 0, 0, 0, 0, 0, 0, 0
GG, 1905, 0, 0, 0, 0, 0, 0, 0, 0
MA, 1103, -1, 3, 2, 1, 1, 0, 0, 0
MA, 1206, 0, 0, 0, 0, 0, 0, 0, 0
MA, 1212, 0, 1, 1, 0, 0, 0, 0, 0
MA, 1213, 0, 0, 1, 0, 0, 0, 0, 0
MA, 1214, 0, 0, 0, 0, 0, 0, 0, 0
MA, 1302, 0, 0, -1, 0, 0, 0, 1, 0
MA, 1402, 0, 0, 0, 0, 0, 0, 1, 0
MA, 1502, 0, 0, 0, 0, 0, 0, 0, 0
MA, 1603, 0, 0, -1, 0, 0, 0, 1, 0
MA, 1702, 0, 0, 0, 0, 0, 1, 0, 0
MA, 1804, 1, -1, 0, 0, 0, 1, 0, 0
MA, 1902, 0, 0, 0, 0, 0, 1, 0, 0
MA, 1905, 0, 0, 0, 0, 0, 0, 0, 0
MA, 2002, 0, 0, 0, 0, 0, 0, 0, 0
MA, 2102, 0, 0, 1, 0, 0, 0, 0, 0
MA, 2203, 0, 0, 0, 0, 0, 0, 0, 0
MA, 2301, 0, -1, 0, 0, 0, 1, 0, 0
MA, 2403, 0, 0, 0, 0, 0, 0, 0, 0
MS, 1203, 0, 0, 0, 2, 0, 0, 0, 0
MS, 1214, 0, 0, 0, 0, 0, 0, 0, 0
MS, 1504, 0, 0, 0, 0, 1, 0, 0, 0
MS, 1905, 0, 0, 0, 1, 0, 0, 0, 0
PH, 1104, 0, 2, 1, 1, 0, 0, 0, 0
PH, 1202, 0, 0, 0, 0, 0, 0, 0, 0
PH, 1207, 0, 0, 0, 0, 0, 0, 0, 0
PH, 1209, 2, 1, 1, 0, 1, 0, 0, 0
PH, 1210, 0, 0, 0, 1, 0, 0, 0, 1
PH, 1212, 0, 1, 1, 1, 0, 0, 0, 0
PH, 1213, 0, 1, 0, 0, 0, 0, 0, 0
PH, 1215, 0, 0, 0, 0, 0, 0, 0, 0
PH, 1216, 0, 0, 0, -1, 0, 0, 0, 1
PH, 1303, 0, 0, 0, -1, 0, 0, 0, 1
PH, 1403, 0, 0, 0, 0, 0, 0, 0, 0
PH, 1503, 0, 0, 0, 0, 0, 1, 0, 0
PH, 1505, 0, 3, 2, 1, 0, 0, 0, 0
PH, 1604, 2, -1, 0, 0, 0, 1, 0, 0
PH, 1605, 0, 0, 0, 0, 1, 0, 0, 0
PH, 1703, 1, 0, 0, 0, 0, 0, 0, 0
PH, 1805, 0, 0, 0, 0, 0, 0, 0, 0
PH, 1903, 0, 0, -1, 0, 0, 0, 1, 0
PH, 1905, 0, 0, 0, 0, 0, 0, 0, 0
PH, 2003, 0, 0, 0, 0, 0, 0, 0, 0
PH, 2103, 0, 0, 0, 0, 0, 0, 0, 0
PH, 2202, 0, 0, 0, 1, 0, 0, 0, 0
PH, 2303, 0, 0, -1, 0, 0, 0, 1, 0
PH, 2402, 0, 0, 0, 0, 0, 0, 0, 0
